time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1629331200,402.56,393.25,396.03,5995.48,2384309.4,402.15,direct,
1629334800,405.27,399.6,402.15,6920.71,2789330.43,401.03,direct,
1629338400,401.35,397.47,401.03,7200.52,2875105.8,399.41,direct,
1629342000,399.53,392.45,399.41,8692.52,3438217.62,393.14,direct,
1629345600,396.24,391.01,393.14,19877.03,7833318.54,395.71,direct,
1629349200,399.24,392.94,395.71,13157.33,5216780.46,397.19,direct,
1629352800,397.78,394.72,397.19,7817.24,3094991.94,396.86,direct,
1629356400,398.81,393.65,396.86,7061.82,2799209.81,397.13,direct,
1629360000,405.11,397.13,397.13,10575.23,4245749.31,403.66,direct,
1629363600,406.77,404.57,404,20424.09,8278615.56,405.34,multiply,BTC
1629367200,403.07,400.45,405.34,13205.12,5297908.36,401.2,multiply,BTC
1629370800,401.85,399.64,401.2,9170.11,3671219.09,400.35,multiply,BTC
1629374400,407.93,403.38,400.35,15691.68,6380102.82,406.59,multiply,BTC
1629378000,414.71,410.39,406.59,24488.02,10147688.92,414.39,multiply,BTC
1629381600,423.78,414.07,414.07,19321.23,8107639.68,421.51,direct,
1629385200,422.96,419.33,421.51,6954.56,2931095.25,422.95,direct,
1629388800,424.28,417.42,422.95,9206.99,3878696.38,417.48,direct,
1629392400,435.54,418.71,417.75,20528.54,8650965.42,421.41,multiply,BTC
1629396000,427.96,420.82,421.33,15549.31,6623179.82,427.77,direct,
1629399600,429.84,426.78,427.77,9861.31,4227457.58,428.98,direct,
1629403200,430.5,425.11,428.98,9038.1,3866673.76,428.72,direct,
1629406800,429.83,427.59,428.83,7676.55,3294619.9,429.18,multiply,BTC
1629410400,429.76,426.34,428.93,4117.83,1762662.38,429.37,direct,
1629414000,431.63,427.83,429.37,4473.23,1920445.66,431.09,direct,
1629417600,436.33,430.03,431.09,13204.13,5726737.46,432.22,direct,
1629421200,432.49,429.27,432.22,5228.58,2254966.85,431.76,direct,
1629424800,431.53,430.21,431.97,7651.27,3298481.23,431.1,multiply,BTC
1629428400,431.3,428.29,431.1,11464.6,4932809.07,430.26,multiply,BTC
1629432000,430.81,428.46,430.26,8607.85,3691746.22,428.88,multiply,BTC
1629435600,429.96,427.55,428.88,9248.82,3966997.37,428.92,multiply,BTC
1629439200,430.33,428.4,428.92,5225.06,2239622.96,428.63,multiply,BTC
1629442800,425.73,423.72,428.63,9457.17,4020465.36,425.12,multiply,BTC
1629446400,426.84,423.37,425.12,12432.12,5305350.15,426.75,multiply,BTC
1629450000,429.73,426.56,426.75,7277.55,3106405.32,426.85,multiply,BTC
1629453600,431.4,426.09,426.76,3473.8,1490354.28,431.34,direct,
1629457200,431.34,426.9,431.34,4121.9,1766262.41,427.38,direct,
1629460800,430.94,429.29,427.4,9530.47,4101214.67,430.33,multiply,BTC
1629464400,437.29,434.76,430.33,12861.56,5596611.37,435.14,multiply,BTC
1629468000,449.36,433.77,434.98,21446.15,9494994.33,448.08,direct,
1629471600,448.41,444.35,448.08,8951.73,3997285.47,447.47,direct,
1629475200,453.77,445.05,447.47,13411.02,6036460.97,447.84,direct,
1629478800,450.15,446.65,447.84,7137.04,3203019.97,449.03,direct,
1629482400,450.06,442.73,449.03,9657.17,4310184.78,444.91,direct,
1629486000,449.32,444.91,444.91,7539.47,3379129.57,448.97,direct,
1629489600,451.46,448.2,448.97,7966.48,3584985.86,449.1,direct,
1629493200,459.59,455.1,449.11,11278.82,5166340.47,458.06,multiply,BTC
1629496800,457.89,450.89,457.45,7172.36,3256631.99,453.01,direct,
