date,block_size,difficulty,hashrate,market_cap,mining_profitability,transaction,tweets,price
01-01-2018,966169,1.92258E+12,1.50E+19,2.26661E+11,2.174,241601,62044,13523
02-01-2018,968332,1.93114E+12,1.60E+19,2.33415E+11,2.431,340809,77723,13924
03-01-2018,975882,1.93114E+12,1.49E+19,2.51929E+11,2.737,395806,79086,15027
04-01-2018,975713,1.93114E+12,1.64E+19,2.49552E+11,2.606,424840,74534,14883
05-01-2018,974894,1.93114E+12,1.50E+19,2.66323E+11,2.631,342564,76404,15881
06-01-2018,971532,1.93114E+12,1.49E+19,2.81493E+11,3.139,358679,62977,16784
07-01-2018,973489,1.93114E+12,1.58E+19,2.80671E+11,2.865,368025,67259,16733
08-01-2018,955491,1.93114E+12,1.56E+19,2.59615E+11,2.754,345506,30585,15476
09-01-2018,971298,1.93114E+12,1.59E+19,2.52344E+11,2.653,360101,80932,15041
10-01-2018,970310,1.93114E+12,1.65E+19,2.40422E+11,2.427,347227,82357,14328
11-01-2018,957442,1.93114E+12,1.69E+19,2.32652E+11,2.554,337766,100333,13863
12-01-2018,979452,1.93114E+12,1.78E+19,2.3246E+11,2.217,299913,80737,13850
13-01-2018,947784,2.13425E+12,1.79E+19,2.41095E+11,1.921,265586,63396,14363
14-01-2018,972098,2.22785E+12,1.68E+19,2.32028E+11,2.003,234890,65657,13821
15-01-2018,968469,2.22785E+12,1.62E+19,2.33914E+11,2.053,273473,76852,13932
16-01-2018,964211,2.22785E+12,1.70E+19,2.05785E+11,1.867,303566,102135,12255
17-01-2018,961005,2.22785E+12,1.94E+19,1.80486E+11,1.529,315604,111394,10747
18-01-2018,965294,2.22785E+12,1.86E+19,1.9418E+11,1.748,309322,100366,11561
19-01-2018,965425,2.22785E+12,1.72E+19,1.94183E+11,1.717,243454,57244,11560
20-01-2018,947155,2.22785E+12,2.07E+19,2.10739E+11,1.607,240433,75149,12544
21-01-2018,948330,2.22785E+12,2.01E+19,2.01358E+11,1.6,215435,76295,11984
22-01-2018,970602,2.22785E+12,1.96E+19,1.88495E+11,1.373,245395,93708,11217
