time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1629331200,45078,44558.5,44714.54,1337.53,59869116.98,45062.3,direct,
1629334800,45184.81,44886.98,45062.3,825.61,37196895.36,44964.06,direct,
1629338400,44964.06,44603.66,44964.06,891.77,39899338.14,44605.24,direct,
1629342000,44614.96,44065.95,44605.24,1755.79,77735458,44076.87,direct,
1629345600,44324.04,43982.21,44076.87,1447.59,63875253.19,44144.7,direct,
1629349200,44493.5,44058.37,44144.7,847.89,37594533.47,44421.99,direct,
1629352800,44493.77,44236.13,44421.99,619.5,27474784.17,44382.57,direct,
1629356400,44648.92,44237.42,44382.57,1475.73,65548844.26,44648.92,direct,
1629360000,44968.09,44382.73,44648.92,1817.54,81297334.39,44704.65,direct,
1629363600,44870.9,44620.87,44704.65,642.33,28757154.11,44788.49,direct,
1629367200,44864.97,44373.02,44788.49,733.55,32694075.34,44385.56,direct,
1629370800,44491.34,44219.37,44385.56,680.11,30163327.49,44227.38,direct,
1629374400,44606.53,44160.84,44227.38,1197.83,53157283.01,44562.85,direct,
1629378000,44989.91,44429.09,44562.85,1666.52,74524006.15,44979.27,direct,
1629381600,45459.33,44978.8,44979.27,2421.24,109648236.2,45459.33,direct,
1629385200,45807.44,45456.97,45459.33,1590.43,72610877.72,45794.14,direct,
1629388800,45945.57,45615.17,45794.14,1217.22,55704266.86,45620.41,direct,
1629392400,45797.24,45438.03,45620.41,1391.3,63455521.99,45731.05,direct,
1629396000,46730.34,45700.88,45731.05,4029.01,186732213.4,46584.32,direct,
1629399600,46759.29,46508.71,46584.32,1668.18,77812809.09,46702.57,direct,
1629403200,46877.77,46449.37,46702.57,1450.88,67621474.33,46587.04,direct,
1629406800,46701.79,46499.47,46587.04,547.52,25501680.98,46619.57,direct,
1629410400,46799.42,46358.6,46619.57,1299.31,60461283.24,46799.42,direct,
1629414000,47044.06,46506.67,46799.42,1746.12,81692197.59,46761.49,direct,
1629417600,47380.68,46652,46761.49,2880.68,135786741.2,47140.33,direct,
1629421200,47310.41,46948.06,47140.33,1654.88,78047687.81,47214.8,direct,
1629424800,47310.47,47091.74,47214.8,846.62,39957153.03,47161.41,direct,
1629428400,47189.84,46981.88,47161.41,666.99,31389004.23,47049.14,direct,
1629432000,47195.59,46994.4,47049.14,657.74,30986868,47109.11,direct,
1629435600,47170.79,46893.54,47109.11,1107.19,52055771.12,47144.35,direct,
1629439200,47245.05,47012.88,47144.35,668.91,31536998.6,47174.89,direct,
1629442800,47187.4,46717.36,47174.89,971.55,45622766.52,46809.46,direct,
1629446400,46972.92,46734.08,46809.46,868.76,40704644.02,46895.1,direct,
1629450000,47331.31,46882.96,46895.1,1021.64,48183326.6,47196.78,direct,
1629453600,47351.02,47124.01,47196.78,644.83,30445531.03,47236.6,direct,
1629457200,47238.01,46864.96,47236.6,889.77,41846497.9,46930.94,direct,
1629460800,47182.17,46896.04,46930.94,827.37,38911493.68,47179.76,direct,
1629464400,47816.88,47128.97,47179.76,2659.58,126425784.8,47807.35,direct,
1629468000,48600.48,47671.95,47807.35,4708.65,226908640.7,48563.7,direct,
1629471600,48729.17,48233.41,48563.7,3143.56,152236426.9,48727.16,direct,
1629475200,49077.46,48555.71,48727.16,3302.96,161228711.5,48781.7,direct,
1629478800,48877.21,48628.98,48781.7,1289.3,62827336.51,48694.08,direct,
