time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1629331200,3047.93,3003.7,3013.52,21703.29,65527174.09,3045.82,direct,
1629334800,3050.21,3027.92,3045.82,11458.63,34820658.79,3028.61,direct,
1629338400,3028.7,3006.84,3028.61,7631.84,23006688.67,3008.49,direct,
1629342000,3008.49,2968.24,3008.49,22641.65,67563575.13,2968.6,direct,
1629345600,2991.67,2963.91,2968.6,10606.68,31593260.65,2983.34,direct,
1629349200,3017,2972.92,2983.34,9742.28,29195386.19,3007.26,direct,
1629352800,3009.92,2987.85,3007.26,6137.83,18398941.64,2996.8,direct,
1629356400,3009.16,2973.52,2996.8,9584.25,28650760.07,2993.96,direct,
1629360000,3020.96,2981.56,2993.96,12996.19,39035141.07,3002.77,direct,
1629363600,3014.42,2999.37,3002.77,5828.72,17537958.97,3005.47,direct,
1629367200,3012.79,2982.17,3005.47,6251.64,18721294.68,2982.99,direct,
1629370800,3001.21,2974.68,2982.99,8124.2,24271922.48,2975.09,direct,
1629374400,2999.53,2991.5,2975.18,35940.99,107741848.3,2997.74,multiply,BTC
1629378000,3021.34,2983.24,2997.18,13574.97,40745574.69,3021.34,direct,
1629381600,3055.32,3021.22,3021.34,19241.01,58503128.31,3044.1,direct,
1629385200,3077.31,3043.19,3044.1,16973.24,51910172.96,3068.4,direct,
1629388800,3077.66,3050.22,3068.4,10752.02,32933527.88,3050.22,direct,
1629392400,3058.22,3025.8,3050.22,12312.61,37487361.72,3049.31,direct,
1629396000,3138.26,3048.33,3049.31,36065.74,111722840.2,3133.28,direct,
1629399600,3164.27,3131.89,3133.28,30986.64,97503723.97,3147.42,direct,
1629403200,3164.58,3143.92,3147.42,17246.86,54371626.8,3157.87,direct,
1629406800,3171.21,3146.13,3157.87,9609.77,30331773.55,3164.53,direct,
1629410400,3175.45,3149.12,3164.53,19451.91,61580518.96,3169.53,direct,
1629414000,3187.36,3157.96,3169.53,16184.13,51376333.82,3184.74,direct,
1629417600,3244.75,3179.27,3184.74,35077.27,112813028.1,3229.25,direct,
1629421200,3242.69,3214.15,3229.25,16456.84,53147768.02,3238.06,direct,
1629424800,3241.75,3222.87,3238.06,13240.7,42808749.93,3230.83,direct,
1629428400,3233.92,3210.28,3230.83,10413.69,33523929.66,3217.25,direct,
1629432000,3230.09,3209.7,3217.25,10271.74,33109826.37,3223.42,direct,
1629435600,3226.86,3204.12,3223.42,10827.17,34839359.37,3224.62,direct,
1629439200,3235.37,3215.85,3224.62,7832.73,25275095.05,3228.45,direct,
1629442800,3232.07,3207.85,3228.45,15264.24,49158593.68,3214.96,direct,
1629446400,3226.14,3189.99,3214.96,12518.71,40095806.95,3199.72,direct,
1629450000,3217.18,3196.5,3199.72,10731.65,34464452.6,3208.42,direct,
1629453600,3225.34,3204.43,3208.42,5230.31,16816512.03,3218.26,direct,
1629457200,3218.26,3199.06,3218.26,6550.12,21011563.79,3205.29,direct,
1629460800,3241.23,3204.47,3205.29,9221.7,29725214.97,3237.56,direct,
1629464400,3262.26,3227.85,3237.56,21600.92,70143332.65,3261.27,direct,
1629468000,3301.32,3251.56,3261.27,48217.69,158220140.7,3288.44,direct,
1629471600,3291.46,3262.24,3288.44,23183.69,75941259.35,3284.12,direct,
1629475200,3298.81,3246.99,3284.12,21296.73,69786957.64,3265.92,direct,
1629478800,3275.11,3249.48,3265.92,13413.36,43736431.9,3252.54,direct,
1629482400,3258.35,3220.28,3252.54,17232.76,55783597.02,3235.8,direct,
1629486000,3257.84,3235.8,3235.8,8680.01,28216198.09,3253.94,direct,
1629489600,3276.8,3247.68,3253.94,18505.64,60417762.01,3260.19,direct,
