time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1629331200,1.001,0.9865,1,21703.29,21711.34,1,invert_divide,ETH
1629334800,1.005,0.9984,1,825.61,825.68,1,invert_divide,BTC
1629338400,1.008,1,1,891.77,892.1,1,invert_divide,BTC
1629342000,1.013,1,1,1755.79,1756.72,1.001,invert_divide,BTC
1629345600,1.004,0.9966,1.001,1447.59,1448.03,1,invert_divide,BTC
1629349200,1.002,0.9922,1,847.89,848.21,1,invert_divide,BTC
1629352800,1.002,0.9967,1,619.5,619.49,1,invert_divide,BTC
1629356400,1,0.9911,1,1475.73,1476.15,1,invert_divide,BTC
1629360000,1.006,0.9928,1,1817.54,1817.51,1,invert_divide,BTC
1629363600,1.002,0.9967,1,642.33,642.61,1,invert_divide,BTC
1629367200,1.011,1,1,733.55,733.9,1,invert_divide,BTC
1629370800,1.006,1,1,680.11,680.32,1,invert_divide,BTC
1629374400,1.001,0.9909,1,1197.83,1197.77,1,invert_divide,BTC
1629378000,1,0.9878,1,1666.52,1666.55,1,invert_divide,BTC
1629381600,1,0.9894,1,2421.24,2421.24,1,invert_divide,BTC
1629385200,1,0.9928,1,1590.43,1590.68,1,invert_divide,BTC
1629388800,1.007,1,1,1217.22,1217.64,1,invert_divide,BTC
1629392400,1.002,0.9937,1,1391.3,1391.48,1,invert_divide,BTC
1629396000,1.003,0.9813,1,4029.01,4030.19,1,invert_divide,BTC
1629399600,1.006,0.9953,1,30986.64,30994.22,1,invert_divide,ETH
1629403200,1.006,0.997,1,1450.88,1450.79,0.9999,invert_divide,BTC
1629406800,1.002,0.9945,0.9999,9609.77,9613.02,1,invert_divide,ETH
1629410400,1.002,0.9934,1,19451.91,19449.7,0.9999,invert_divide,ETH
1629414000,1.006,0.9947,1,1746.12,1746.42,1,invert_divide,BTC
1629417600,1.005,0.9896,1,2880.68,2880.59,1,invert_divide,BTC
1629421200,1.002,0.9948,1,1654.88,1655.55,1,invert_divide,BTC
1629424800,1.003,0.9976,1,13240.7,13241.93,1,invert_divide,ETH
1629428400,1.005,0.9976,1,10413.69,10411.65,0.9998,invert_divide,ETH
1629432000,1.002,0.9957,0.9998,10271.74,10270.85,0.9999,invert_divide,ETH
1629435600,1.001,0.9946,0.9999,1107.19,1107.14,1,invert_divide,BTC
1629439200,1.001,0.9965,1,668.91,668.9,1,invert_divide,BTC
1629442800,1.005,0.9975,0.9999,15264.24,15260.3,0.9997,invert_divide,ETH
1629446400,1.001,0.9962,0.9998,868.76,868.45,0.9996,invert_divide,BTC
1629450000,1.003,0.9932,0.9996,1021.64,1021.5,0.9999,invert_divide,BTC
1629453600,1.002,0.9976,0.9999,644.83,644.82,1,invert_divide,BTC
1629457200,1.007,0.9986,1,889.77,889.77,1,invert_divide,BTC
1629460800,1,0.9942,1,827.37,827.51,1,invert_divide,BTC
1629464400,1,0.9861,1,2659.58,2660.27,1,invert_divide,BTC
1629468000,1.001,0.9817,1,4708.65,4708.84,1,invert_divide,BTC
1629471600,1,0.99,1,3143.56,3144.05,1,invert_divide,BTC
1629475200,1.007,0.9958,1,3302.96,3304.53,1,invert_divide,BTC
1629478800,1.004,0.999,1,1289.3,1289.71,1,invert_divide,BTC
1629482400,1.006,0.997,1,1441.63,1441.95,1,invert_divide,BTC
1629486000,1.001,0.9957,1,949.27,949.7,1,invert_divide,BTC
