time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1629331200,1.17,1.127,1.145,8034384.14,9214460.22,1.169,direct,
1629334800,1.169,1.151,1.169,4961583.63,5753700.1,1.152,direct,
1629338400,1.152,1.136,1.152,4609396.33,5260820.06,1.14,direct,
1629342000,1.143,1.113,1.14,5407387.93,6084533.82,1.119,direct,
1629345600,1.135,1.11,1.119,5963330.44,6712191.67,1.124,direct,
1629349200,1.138,1.117,1.124,3234343.9,3652781.38,1.125,direct,
1629352800,1.127,1.113,1.125,4692896.89,5252737.96,1.124,direct,
1629356400,1.131,1.113,1.124,3630920.52,4074714.45,1.126,direct,
1629360000,1.138,1.116,1.126,4524784.98,5111913.84,1.131,direct,
1629363600,1.139,1.122,1.131,4122859.57,4659599.53,1.133,direct,
1629367200,1.135,1.114,1.133,4165193.82,4685152.39,1.117,direct,
1629370800,1.123,1.103,1.117,5452974.24,6068488.19,1.103,direct,
1629374400,1.118,1.093,1.103,8088388.07,8915640.6,1.115,direct,
1629378000,1.129,1.107,1.115,8507422.35,9525548.02,1.129,direct,
1629381600,1.151,1.129,1.129,12808241.23,14570823.87,1.14,direct,
1629385200,1.155,1.136,1.14,5951830.08,6821316.74,1.151,direct,
1629388800,1.157,1.137,1.151,5260952.56,6040833.15,1.138,direct,
1629392400,1.146,1.129,1.138,5024694.22,5715249.3,1.14,direct,
1629396000,1.187,1.14,1.14,11112508.4,13011427.47,1.185,direct,
1629399600,1.199,1.183,1.185,10725016.83,12757674.69,1.19,direct,
1629403200,1.212,1.18,1.19,7945664.97,9511785.82,1.212,direct,
1629406800,1.223,1.199,1.212,4492989.57,5442328.29,1.216,direct,
1629410400,1.224,1.199,1.216,4856278.77,5874386.91,1.221,direct,
1629414000,1.235,1.211,1.221,9184640.39,11226759.71,1.234,direct,
1629417600,1.237,1.218,1.234,6692138.87,8228431.22,1.223,direct,
1629421200,1.227,1.211,1.223,2720491.96,3320273.72,1.227,direct,
1629424800,1.228,1.212,1.227,2096956.04,2554506.37,1.214,direct,
1629428400,1.217,1.2,1.214,3896052.56,4704238.02,1.207,direct,
1629432000,1.222,1.203,1.207,3254907.49,3940171.32,1.222,direct,
1629435600,1.226,1.209,1.222,4648607.9,5669878.26,1.223,direct,
1629439200,1.231,1.218,1.223,3510807.17,4298172.67,1.229,direct,
1629442800,1.258,1.224,1.229,11986725.66,14877860.04,1.24,direct,
1629446400,1.244,1.226,1.24,6884994.8,8509866.54,1.239,direct,
1629450000,1.246,1.234,1.239,4411076.94,5477792.9,1.243,direct,
1629453600,1.259,1.242,1.243,8146149.01,10207094.63,1.249,direct,
1629457200,1.251,1.233,1.249,3791044.19,4713304,1.236,direct,
1629460800,1.247,1.235,1.236,2896161.6,3597042.6,1.244,direct,
1629464400,1.268,1.244,1.244,5702214.07,7174438.21,1.265,direct,
1629468000,1.284,1.259,1.265,9937265.06,12638124.43,1.277,direct,
1629471600,1.285,1.261,1.277,8028049.85,10191774.44,1.283,direct,
1629475200,1.289,1.254,1.283,8684007.57,11030924.72,1.262,direct,
1629478800,1.267,1.256,1.262,3563620.75,4496446.71,1.259,direct,
1629482400,1.261,1.225,1.259,6614418.61,8211228.53,1.239,direct,
1629486000,1.254,1.239,1.239,3760888.38,4689380.84,1.251,direct,
1629489600,1.265,1.242,1.251,3441553.85,4316200.01,1.254,direct,
1629493200,1.269,1.254,1.254,1096024.44,1380497.91,1.269,direct,
1629496800,1.269,1.245,1.269,2836462.12,3561952.12,1.251,direct,
1629500400,1.264,1.248,1.251,1999718.87,2514592.84,1.264,direct,
1629504000,1.264,1.233,1.264,3809298.37,4741596.5,1.237,direct,
1629507600,1.259,1.234,1.237,1743115.7,2170480.98,1.258,direct,
1629511200,1.283,1.255,1.258,3921153.1,4980861.12,1.261,direct,
1629514800,1.274,1.258,1.261,3592099.75,4546422.68,1.268,direct,
1629518400,1.269,1.255,1.268,2317165.48,2920941.37,1.259,direct,
1629522000,1.272,1.258,1.259,1722019.42,2180788.97,1.266,direct,
1629525600,1.268,1.257,1.266,1681239.8,2122813.64,1.259,direct,
1629529200,1.265,1.252,1.259,1672493.19,2106819.93,1.263,direct,
1629532800,1.267,1.256,1.263,5664104.12,7157655.39,1.257,direct,
1629536400,1.258,1.246,1.257,1814028.05,2270276.3,1.253,direct,
1629540000,1.265,1.251,1.253,1673092.43,2107501.62,1.263,direct,
1629543600,1.265,1.228,1.263,2083474.27,2585951.42,1.232,direct,
